,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
496,CANDY,602 L,,,,no,4.6,550 Ratings,82 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
497,Whirlpool,215 L,Triple Door,,,no,4.3,"13,765 Ratings","1,151 Reviews",,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
498,Whirlpool,235 L,Triple Door,,,no,4.6,,1 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹29,950","₹39,450",24% off
499,Voltas,185 L,Single Door, Direct Cool,4 Star,no,,"65,317 Ratings","4,293 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹17,800","₹28,390",37% off
500,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"25,002 Ratings","2,543 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹11,690","₹24,990",53% off
501,Whirlpool,325 L,Double Door,,2 Star,no,4.3,,0 Reviews,Normal Compressor,,, 10 ,"₹38,290","₹47,250",18% off
502,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,190 Ratings,25 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
503,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Non Inverter Compressor,yes,1 Year, 10 ,"₹13,990","₹21,590",35% off
504,Whirlpool,207 L,Single Door, Direct Cool,3 Star,no,4.3,63 Ratings,14 Reviews,,yes,2 Year, 10 ,"₹18,300","₹22,500",18% off
505,Haier,190 L,Single Door, Direct Cool,5 Star,no,3,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹21,300","₹29,500",27% off
506,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"3,566 Ratings",237 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹16,390","₹22,999",28% off
507,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,2 Years, 10 ,"₹9,990","₹13,490",25% off
508,Haier,253 L,Single Door, Direct Cool,3 Star,no,3.7,334 Ratings,30 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹20,990","₹30,990",32% off
509,Haier,598 L,,,,no,4.5,"5,271 Ratings",346 Reviews,Normal Compressor,,, 10 ,"₹93,990","₹1,47,290",36% off
510,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
511,SAMSUNG,183 L,Single Door, Direct Cool,3 Star,no,,"4,434 Ratings",382 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹15,700","₹19,999",21% off
512,Voltas,183 L,Single Door, Direct Cool,3 Star,no,4.3,117 Ratings,9 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹12,790","₹26,490",51% off
513,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"2,836 Ratings",310 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
514,SAMSUNG,192 L,Single Door, Direct Cool,3 Star,no,4.4,13 Ratings,1 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹15,090","₹17,990",16% off
515,Voltas,185 L,Single Door, Direct Cool,5 Star,no,,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹19,935","₹32,390",38% off
516,CANDY,240 L,Double Door,,2 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹18,990","₹26,490",28% off
517,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,,1 Reviews,Reciprocatory Compressor,,, 10 ,"₹17,990","₹21,999",18% off
518,Whirlpool,330 L,Triple Door,,,no,2,46 Ratings,5 Reviews,,yes,1 Year, 10 ,"₹32,080","₹46,450",30% off
519,Whirlpool,215 L,Triple Door,,,no,4.2,550 Ratings,82 Reviews,Smart Inverter Compressor,yes,1 Year, 10 ,"₹26,390","₹38,650",31% off
520,LG,,Single Door, Direct Cool,5 Star,yes,4.5,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 Year, 20 ,"₹17,490","₹22,699",22% off
521,SAMSUNG,183 L,Single Door, Direct Cool,3 Star,no,4.2,179 Ratings,18 Reviews,Inverter Compressor,,, 10 ,"₹15,990","₹21,999",27% off
522,CANDY,602 L,,,,no,4.6,,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹49,990","₹69,490",28% off
523,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,2 Years, 10 ,"₹19,990","₹30,999",35% off
524,Voltas,185 L,Single Door, Direct Cool,5 Star,no,,"65,317 Ratings","4,293 Reviews",,yes,1 Year, 10 ,"₹19,900","₹32,390",38% off
525,Haier,240 L,Double Door,,2 Star,no,4.5,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹24,999","₹36,700",31% off
526,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"2,815 Ratings",163 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹17,490","₹22,999",23% off
527,Whirlpool,215 L,Triple Door,,,no,4.3,33 Ratings,3 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
528,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,no,4.5,"15,637 Ratings","1,110 Reviews",,yes,, 2 ,"₹21,500","₹25,999",17% off
529,Liebherr,205 L,Single Door, Direct Cool,3 Star,no,4.5,"15,637 Ratings","1,110 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹14,790","₹24,570",39% off
530,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,52 Ratings,1 Reviews,Inverter Compressor,yes,2 Years, 10 ,"₹16,390","₹22,999",28% off
531,Panasonic,401 L,Double Door,,2 Star,no,4.3,,1 Reviews,Normal Compressor,,, 10 ,"₹52,490","₹88,690",40% off
532,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"3,566 Ratings",237 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
533,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"12,919 Ratings",878 Reviews,Normal Compressor,,, 10 ,"₹9,990","₹13,490",25% off
534,Whirlpool,207 L,Single Door, Direct Cool,5 Star,no,4.3,157 Ratings,9 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹18,840","₹23,900",21% off
535,Whirlpool,190 L,Single Door, Direct Cool,4 Star,no,4.2,,1 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹17,990","₹22,500",20% off
536,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
537,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"13,765 Ratings","1,151 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
538,Godrej,268 L,Single Door, Direct Cool,3 Star,no,4.3,67 Ratings,4 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹23,353","₹29,990",22% off
539,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4.3,"5,324 Ratings",496 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹15,299","₹19,990",23% off
540,CANDY,240 L,Double Door,,2 Star,no,4.3,"25,002 Ratings","2,543 Reviews",,yes,1 Years, 10 ,"₹18,990","₹26,490",28% off
541,Haier,185 L,Single Door, Direct Cool,4 Star,no,4.1,29 Ratings,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹19,999","₹27,490",27% off
542,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"5,271 Ratings",346 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
543,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"19,653 Ratings","1,211 Reviews",,yes,, 8 ,"₹19,990","₹30,999",35% off
544,Liebherr,240 L,Double Door,,2 Star,no,5,23 Ratings,1 Reviews,,yes,1 Year, 10 ,"₹22,590","₹37,190",39% off
545,Acer,190 L,Single Door, Direct Cool,2 Star,no,4.4,"3,660 Ratings",358 Reviews,Inverter Compressor,,, 10 ,"₹13,999","₹20,999",33% off
546,CANDY,602 L,,,,no,4.6,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
547,Whirlpool,215 L,Triple Door,,,no,4.3,"19,653 Ratings","1,211 Reviews",,yes,2 Years, 12 ,"₹23,990","₹30,150",20% off
548,Voltas,268 L,Double Door,,3 Star,no,4.4,920 Ratings,142 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹29,990","₹39,990",25% off
549,Whirlpool,192 L,Single Door, Direct Cool,2 Star,no,4.3,25 Ratings,1 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹15,590","₹20,990",25% off
550,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"3,566 Ratings",237 Reviews,,,,,"₹11,690","₹24,990",53% off
551,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,,"3,660 Ratings",358 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹15,950","₹19,530",18% off
552,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"5,271 Ratings",346 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
553,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"12,919 Ratings",878 Reviews,,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
554,Godrej,180 L,Single Door, Direct Cool,2 Star,no,4.3,51 Ratings,5 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹12,490","₹17,500",28% off
555,Haier,265 L,Double Door,,3 Star,no,4.8,"3,660 Ratings",358 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹34,990","₹58,200",39% off
556,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"2,836 Ratings",310 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹16,490","₹21,450",23% off
557,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"65,317 Ratings","4,293 Reviews",VarioInverter Compressor,yes,1 Year, 10 ,"₹15,490","₹21,750",28% off
558,BOSCH,334 L,Double Door,,2 Star,no,,74 Ratings,7 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹37,890","₹58,990",35% off
559,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4.2,"13,765 Ratings","1,151 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹16,269","₹20,050",18% off
560,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,103 Ratings,7 Reviews,Reciprocatory Compressor,,, 10 ,"₹14,990","₹20,500",26% off
561,Whirlpool,330 L,Triple Door,,,no,2,550 Ratings,82 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹32,080","₹46,450",30% off
562,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹9,990","₹13,490",25% off
563,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,42 Ratings,4 Reviews,Smart Inverter Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
564,LG,242 L,Double Door,,2 Star,no,4.1,,3 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹21,915","₹29,247",25% off
565,Lloyd,310 L,Multi-Door,,2 Star,no,4,"5,271 Ratings",346 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹26,590","₹43,490",38% off
566,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
567,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,400 Ratings,39 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
568,LG,185 L,Single Door, Direct Cool,3 Star,no,4.2,"65,317 Ratings","4,293 Reviews",,yes,1 Year, 9 ,"₹16,790","₹20,399",17% off
569,Lloyd,178 L,Single Door, Direct Cool,3 Star,no,4.3,590 Ratings,34 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹14,985","₹19,500",23% off
570,Whirlpool,215 L,Triple Door,,,no,4.3,"19,653 Ratings","1,211 Reviews",,yes,1 Years,,"₹23,990","₹30,150",20% off
571,Haier,190 L,Single Door, Direct Cool,3 Star,no,4.2,"15,637 Ratings","1,110 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹17,999","₹27,490",34% off
572,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,,0 Reviews,Normal Compressor,,, 10 ,"₹12,590","₹25,990",51% off
573,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,395 Ratings,22 Reviews,,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
574,BOSCH,243 L,Double Door,,3 Star,no,3.7,"15,637 Ratings","1,110 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹27,990","₹38,590",27% off
575,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4.3,208 Ratings,19 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹18,000","₹23,000",21% off
576,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"3,566 Ratings",237 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
577,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,33 Ratings,7 Reviews,Reciprocatory Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
578,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4.2,"12,919 Ratings",878 Reviews,,yes,1 Year, 10 ,"₹17,499","₹18,125",3% off
579,Haier,175 L,Single Door, Direct Cool,2 Star,no,4.2,"65,317 Ratings","4,293 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹13,590","₹17,092",20% off
580,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,395 Ratings,22 Reviews,DC Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
581,Whirlpool,207 L,Single Door, Direct Cool,4 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹19,490","₹23,450",16% off
582,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
583,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,73 Ratings,3 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
584,SAMSUNG,223 L,Single Door, Direct Cool,3 Star,no,4.2,127 Ratings,12 Reviews,Non Inverter Compressor,yes,1 Year, 10 ,"₹19,990","₹25,999",23% off
585,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4.3,"5,271 Ratings",346 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹16,949","₹20,200",16% off
586,CANDY,240 L,Double Door,,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹18,990","₹26,490",28% off
587,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"7,898 Ratings",461 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹17,490","₹22,999",23% off
588,SAMSUNG,183 L,Single Door, Direct Cool,3 Star,no,,,1 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹19,290","₹20,481",5% off
589,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.1,103 Ratings,20 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹13,580","₹17,650",23% off
590,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"65,317 Ratings","4,293 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
591,Whirlpool,184 L,Single Door, Direct Cool,3 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Inverter Compressor,,, 10 ,"₹15,140","₹18,800",19% off
592,CANDY,602 L,,,,no,4.6,49 Ratings,2 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
593,Whirlpool,215 L,Triple Door,,,no,4.3,590 Ratings,34 Reviews,DC Inverter Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
594,Whirlpool,200 L,Single Door, Direct Cool,4 Star,no,4.1,"3,566 Ratings",237 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹17,790","₹22,900",22% off
595,SAMSUNG,363 L,Double Door,,2 Star,no,4.4,,0 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹44,990","₹61,990",27% off
596,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"5,271 Ratings",346 Reviews,Normal Compressor,,, 10 ,"₹11,690","₹24,990",53% off
597,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
598,Panasonic,280 L,Double Door,,3 Star,no,,208 Ratings,19 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹30,468","₹35,990",15% off
599,Godrej,294 L,Double Door,,2 Star,no,4.2,"2,836 Ratings",310 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹36,000","₹37,997",5% off
600,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹16,390","₹22,999",28% off
601,Haier,185 L,Single Door, Direct Cool,2 Star,no,4.4,33 Ratings,7 Reviews,Normal Compressor,,, 10 ,"₹19,500","₹20,400",4% off
602,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"4,998 Ratings",424 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹12,790","₹17,000",24% off
603,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"13,765 Ratings","1,151 Reviews",,yes,1 Year, 20 ,"₹16,490","₹21,450",23% off
604,SAMSUNG,236 L,Double Door,,1 Star,no,4.3,395 Ratings,22 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹24,210","₹28,990",16% off
605,Haier,205 L,Single Door, Direct Cool,3 Star,no,4.3,550 Ratings,82 Reviews,Reciprocating Compressor,yes,1 Year, 9 ,"₹15,990","₹23,890",33% off
606,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,4.3,"25,002 Ratings","2,543 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹15,490","₹21,750",28% off
607,Whirlpool,192 L,Single Door, Direct Cool,4 Star,no,,73 Ratings,3 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹14,990","₹20,500",26% off
608,SAMSUNG,,Double Door,,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹36,590","₹46,990",22% off
609,Godrej,472 L,Double Door,,2 Star,no,,"7,898 Ratings",461 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹48,490","₹75,990",36% off
610,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,499 Ratings,46 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
611,Hitachi,565 L,Double Door,,3 Star,no,4.2,48 Ratings,8 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹74,490","₹77,500",3% off
612,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
613,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"19,653 Ratings","1,211 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹17,490","₹22,999",23% off
614,Haier,215 L,Single Door, Direct Cool,3 Star,no,4.3,"3,566 Ratings",237 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹17,990","₹24,990",28% off
615,Lloyd,310 L,Double Door,,3 Star,no,,,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹35,390","₹53,490",33% off
616,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,16 Ratings,1 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹19,990","₹30,999",35% off
617,Whirlpool,215 L,Triple Door,,,no,4.3,"5,271 Ratings",346 Reviews,,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
618,Godrej,331 L,Double Door,,2 Star,no,4,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹29,990","₹47,540",36% off
619,SAMSUNG,314 L,Double Door,,2 Star,no,4.3,,2 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹39,200","₹44,990",12% off
620,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,134 Ratings,10 Reviews,Inverter Compressor,yes,10 Years, 1 ,"₹12,590","₹25,990",51% off
621,Godrej,180 L,Single Door, Direct Cool,5 Star,no,,"2,836 Ratings",310 Reviews,Normal Compressor,,, 10 ,"₹17,690","₹25,690",31% off
622,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"3,412 Ratings",388 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
623,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,"65,317 Ratings","4,293 Reviews",,yes,1 Year, 10 ,"₹13,990","₹21,590",35% off
624,Hitachi,403 L,Double Door,,2 Star,no,3.2,"13,765 Ratings","1,151 Reviews",,yes,2 Years, 12 ,"₹43,990","₹66,000",33% off
625,Voltas,340 L,Double Door,,2 Star,no,3.9,,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹44,999",,
626,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,46 Ratings,5 Reviews,Normal Compressor,,, 10 ,"₹16,390","₹22,999",28% off
627,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,550 Ratings,82 Reviews,Inverter Compressor,,, 08 ,"₹12,790","₹17,000",24% off
628,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"25,002 Ratings","2,543 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹14,950","₹20,900",28% off
629,Haier,185 L,Single Door, Direct Cool,2 Star,no,4.4,401 Ratings,35 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹19,500","₹20,400",4% off
630,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"6,164 Ratings",700 Reviews,,yes,1 Year, 20 ,"₹9,990","₹13,490",25% off
631,SAMSUNG,236 L,Double Door,,1 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹24,210","₹28,990",16% off
632,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
633,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
634,SAMSUNG,,Double Door,,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹36,590","₹46,990",22% off
635,Godrej,472 L,Double Door,,2 Star,no,,,0 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹48,490","₹75,990",36% off
636,CANDY,240 L,Double Door,,2 Star,no,4.3,12 Ratings,2 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹18,990","₹26,490",28% off
637,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"3,566 Ratings",237 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹17,490","₹22,999",23% off
638,Hitachi,565 L,Double Door,,3 Star,no,4.2,"5,271 Ratings",346 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹74,490","₹77,500",3% off
639,SAMSUNG,236 L,Double Door,,2 Star,yes,4.4,38 Ratings,3 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹23,990","₹33,990",29% off
640,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"12,919 Ratings",878 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
641,Haier,215 L,Single Door, Direct Cool,3 Star,no,4.3,179 Ratings,27 Reviews,Inverter Compressor,,, 10 ,"₹17,990","₹24,990",28% off
642,CANDY,602 L,,,,no,4.6,"2,836 Ratings",310 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
643,Whirlpool,215 L,Triple Door,,,no,4.3,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
644,Lloyd,310 L,Double Door,,3 Star,no,,11 Ratings,0 Reviews,,yes,1 Year, 10 ,"₹35,390","₹53,490",33% off
645,Godrej,331 L,Double Door,,2 Star,no,4,94 Ratings,4 Reviews,Normal Compressor,,, 10 ,"₹29,990","₹47,540",36% off
646,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
647,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,550 Ratings,82 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹13,990","₹21,590",35% off
648,Haier,190 L,Single Door, Direct Cool,3 Star,no,4.3,38 Ratings,7 Reviews,,yes,1 Year, 9 ,"₹15,990","₹22,990",30% off
649,Lloyd,310 L,Double Door,,2 Star,no,3.9,,0 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹26,590","₹39,990",33% off
650,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"25,002 Ratings","2,543 Reviews",Digital Inverter Compressor,yes,1 Year, 10 ,"₹16,390","₹22,999",28% off
651,SAMSUNG,385 L,Double Door,,3 Star,no,,"9,002 Ratings",879 Reviews,Normal Compressor,,, 10 ,"₹55,699","₹71,990",22% off
652,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
653,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"7,898 Ratings",461 Reviews,,yes,, 12 ,"₹9,990","₹13,490",25% off
654,Haier,598 L,,,,no,4,"1,018 Ratings",101 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹79,999","₹1,39,990",42% off
655,Whirlpool,185 L,Single Door, Direct Cool,1 Star,no,4.1,48 Ratings,4 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹12,350","₹17,350",28% off
656,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
