,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
249,Rockwell,45 L,Single Door, Direct Cool,2 Star,no,,"1,133 Ratings",88 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹8,190","₹18,515",55% off
250,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,46 Ratings,5 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹17,490","₹22,999",23% off
251,Whirlpool,215 L,Triple Door,,,no,4.3,"5,271 Ratings",346 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹23,990","₹30,150",20% off
252,Whirlpool,235 L,Double Door,,3 Star,no,4,581 Ratings,27 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹30,200","₹34,800",13% off
253,Godrej,202 L,Single Door, Direct Cool,4 Star,no,4.5,"19,653 Ratings","1,211 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹16,990","₹25,590",33% off
254,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"7,898 Ratings",461 Reviews,Smart Inverter Compressor,yes,1 Year, 10 ,"₹12,590","₹25,990",51% off
255,LG,185 L,Single Door, Direct Cool,4 Star,yes,4.5,56 Ratings,1 Reviews,Normal Compressor,,, 10 ,"₹15,990","₹21,699",26% off
256,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"1,777 Ratings",217 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
257,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹13,990","₹21,590",35% off
258,IFB,206 L,Single Door, Direct Cool,4 Star,no,4.4,"2,836 Ratings",310 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹18,490","₹26,400",29% off
259,CANDY,190 L,Single Door, Direct Cool,5 Star,no,4.3,186 Ratings,9 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹14,690","₹19,490",24% off
260,Whirlpool,184 L,Single Door, Direct Cool,5 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹16,490","₹21,450",23% off
261,CANDY,240 L,Double Door,,2 Star,no,4.3,376 Ratings,28 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹18,990","₹26,490",28% off
262,Whirlpool,308 L,Double Door,,3 Star,no,4,"19,653 Ratings","1,211 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹31,990","₹44,490",28% off
263,IFB,241 L,Double Door,,3 Star,no,,"3,566 Ratings",237 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹24,990","₹37,990",34% off
264,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"3,795 Ratings",339 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹16,390","₹22,999",28% off
265,IFB,187 L,Single Door, Direct Cool,2 Star,no,4.4,"1,398 Ratings",97 Reviews,Normal Compressor,,, 10 ,"₹13,490","₹16,750",19% off
266,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"5,271 Ratings",346 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
267,CANDY,165 L,Single Door, Direct Cool,1 Star,no,4.1,"12,919 Ratings",878 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹9,990","₹13,490",25% off
268,Haier,268 L,Double Door,,2 Star,no,4.3,"1,816 Ratings",244 Reviews,Fixed Speed Compressor,yes,1 Year, 10 ,"₹25,990","₹36,990",29% off
269,Godrej,180 L,Single Door, Direct Cool,5 Star,no,4.4,113 Ratings,8 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹15,990","₹19,990",20% off
270,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"2,836 Ratings",310 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,590","₹25,990",51% off
271,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"5,006 Ratings",543 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹17,990","₹21,999",18% off
272,realme,205 L,Single Door, Direct Cool,2 Star,no,4.2,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 Year, 20 ,"₹13,990","₹24,990",44% off
273,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,no,4.3,"13,765 Ratings","1,151 Reviews",Inverter Compressor,yes,1 Year, 10 ,"₹18,100","₹23,999",24% off
274,CANDY,240 L,Double Door,,2 Star,no,4.3,"16,183 Ratings","1,243 Reviews",Reciprocating Compressor,yes,1 Year, 10 ,"₹18,990","₹26,490",28% off
275,MarQ,183 L,Single Door, Direct Cool,3 Star,no,4.2,"5,324 Ratings",496 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹12,990","₹21,990",40% off
276,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,550 Ratings,82 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
277,SAMSUNG,215 L,Single Door, Direct Cool,5 Star,yes,4.4,"25,002 Ratings","2,543 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹19,990","₹30,999",35% off
278,Haier,190 L,Single Door, Direct Cool,5 Star,no,4.4,"5,271 Ratings",346 Reviews,,yes,1 Year, 9 ,"₹18,290","₹27,490",33% off
279,Lloyd,188 L,Single Door, Direct Cool,3 Star,no,4.3,"6,447 Ratings",553 Reviews,Inverter Compressor,,, 10 ,"₹13,690","₹20,090",31% off
280,CANDY,602 L,,,,no,4.6,"5,271 Ratings",346 Reviews,Inverter Compressor,yes,1 Year, 9 ,"₹49,990","₹69,490",28% off
281,Whirlpool,215 L,Triple Door,,,no,4.3,678 Ratings,52 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹23,990","₹30,150",20% off
282,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Reciprocating Compressor,yes,1 Year, 9 ,"₹11,690","₹25,190",53% off
283,Whirlpool,231 L,Double Door,,2 Star,no,4.3,"7,898 Ratings",461 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹23,490","₹33,700",30% off
284,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,,0 Reviews,Inverter Compressor,yes,2 Years, 10 ,"₹11,690","₹24,990",53% off
285,Godrej,272 L,Double Door,,2 Star,no,4.1,40 Ratings,2 Reviews,Normal Compressor,,, 10 ,"₹32,999","₹39,990",17% off
286,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"65,317 Ratings","4,293 Reviews",Fixed Speed Compressor,yes,1 Year, 10 ,"₹12,790","₹17,000",24% off
287,Godrej,183 L,Single Door, Direct Cool,3 Star,no,4.3,"19,653 Ratings","1,211 Reviews",Normal Compressor,yes,1 Year, 9 ,"₹13,990","₹21,590",35% off
288,Whirlpool,192 L,Single Door, Direct Cool,3 Star,no,4,"2,597 Ratings",250 Reviews,Digital Inverter Compressor,yes,1 Year, 20 ,"₹16,090","₹20,750",22% off
289,SAMSUNG,183 L,Single Door, Direct Cool,3 Star,no,3.7,48 Ratings,3 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹15,300","₹19,999",23% off
